SDN,,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,mgL_9,mgL_10,mgL_11,mgL_12,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,QF_DO_1,QF_DO_2,QF_DO_3,QF_DO_4,QF_DO_5,QF_DO_6,QF_DO_7,QF_DO_8,QF_DO_9,QF_DO_10,QF_DO_11,QF_DO_12,,QF_TC_1,QF_TC_2,QF_TC_3,QF_TC_4,QF_TC_5,QF_TC_6,QF_TC_7,QF_TC_8,QF_TC_9,QF_TC_10,QF_TC_11,QF_TC_12,,QF_DO2_1,QF_DO2_2,QF_DO2_3,QF_DO2_4,QF_DO2_5,QF_DO2_6,QF_DO2_7,QF_DO2_8,QF_DO2_9,QF_DO2_10,QF_DO2_11,QF_DO2_12
738198.3333,2/11/21 7:59,7.713458456,4.038299535,10.78731077,NaN,5.98536802,5.991621023,6.088291898,5.14067293,5.426980246,,,5.846404209,16,12.9,16.1,,20.2,9.7,19.9,12.9,19.3,,,9.8,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.3542,2/11/21 8:30,7.642699033,3.960257075,10.7515683,NaN,5.9654683,6.182333771,6.077396144,5.188535182,5.480143325,,,5.885904682,15.9,12.8,16.2,,20.1,9.7,19.7,13.1,19.4,,,9.5,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.375,2/11/21 9:00,7.594228256,3.89898518,10.81440169,NaN,5.997930082,6.145010365,6.180484907,5.096507716,5.516627766,,,5.834184761,16.1,12.9,16.3,,20.2,9.9,19.6,12.8,19.3,,,9.8,1,4,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.3958,2/11/21 9:29,7.600321659,3.995386788,11.08683297,NaN,6.015078741,6.204851734,6.181121085,5.209004721,5.437357017,,,5.905481766,15.7,12.9,16.1,,20.2,10,19.8,12.8,19.4,,,9.7,1,4,1,,4,1,1,1,1,,,4,,1,4,1,,4,1,4,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.4167,2/11/21 10:00,7.788657481,5.532313364,10.94975162,NaN,6.539979477,6.669849877,6.576403578,6.804619379,6.775185951,,,6.697562607,16.1,14.2,16.2,,21.4,9.9,20.8,14.1,21.6,,,9.9,1,4,1,,4,4,4,1,4,,,4,,1,4,1,,4,1,1,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.4375,2/11/21 10:30,8.18499602,5.11916641,10.81860391,NaN,7.094948876,8.295930803,7.534403965,5.889178951,7.482557242,,,7.566257722,16.2,12.8,16.2,,20.1,10.1,20,12.1,20.2,,,9.9,1,4,1,,4,4,1,1,1,,,4,,1,4,1,,4,4,1,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.4583,2/11/21 10:59,8.208812788,4.814299982,10.93325635,NaN,7.062100578,8.547092913,7.514476057,5.759830318,7.430038771,,,7.813327302,16,12.4,15.8,,19.8,10.4,19.7,12,20.1,,,10,1,1,1,,1,1,1,1,1,,,1,,1,4,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.4792,2/11/21 11:30,8.209422634,5.083172792,10.27558092,NaN,7.042392629,8.402644116,7.459583569,5.625141953,7.344853654,,,7.861341687,16,12.3,15.9,,20,10.5,19.9,11.8,20.2,,,9.9,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.5,2/11/21 12:00,8.186810872,5.095302696,10.58231969,NaN,7.049993674,8.34316081,7.552593538,5.547609905,7.350406146,,,7.839470494,16.2,12.9,15.9,,19.7,10.6,19.5,12.2,19.9,,,9.9,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.5208,2/11/21 12:29,8.240366093,5.18012358,10.76958818,NaN,7.041377084,8.289905468,7.476548498,5.611317663,7.341817059,,,7.696107513,15.9,12.5,15.7,,19.9,10.4,19.8,11.8,20.2,,,10.1,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.5417,2/11/21 13:00,8.070589368,4.883536941,10.75502294,NaN,7.045166982,8.2095623,7.454936516,5.67675485,7.43733699,,,7.840706203,16.1,12.4,16,,19.9,10.2,19.9,11.8,20.1,,,9.9,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.5625,2/11/21 13:30,8.12150637,5.096981521,10.73659037,NaN,7.045797452,8.223698038,7.491884753,5.730687877,7.335176039,,,7.836159926,16.3,13,16,,19.9,10.4,19.8,12.4,20.1,,,10,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.5833,2/11/21 13:59,8.107124458,4.928135117,11.00809343,NaN,7.016229156,8.441191407,7.544536153,5.562160739,7.486002474,,,7.785384441,16.2,12.5,16,,19.9,10.5,19.8,11.9,20.2,,,9.9,1,4,1,,1,1,1,1,1,,,4,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.6042,2/11/21 14:30,8.29173648,7.748392981,10.57742079,NaN,7.068083474,8.578414305,7.496433823,9.016427862,7.41966316,,,8.978282602,16,13.7,16,,19.9,10.5,19.8,13.2,20.1,,,10,1,4,1,,1,1,1,1,1,,,4,,1,4,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.625,2/11/21 15:00,8.130314252,7.952455795,10.84066044,NaN,7.029297029,8.754494421,7.444721498,9.043133257,7.397440995,,,9.177429988,16.1,13.8,16,,20,10.4,19.9,13.2,20.2,,,10,1,4,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.6458,2/11/21 15:29,8.301425395,7.990991807,10.61897412,NaN,7.042862557,8.710500902,7.512975892,9.076512984,7.448440558,,,9.215765679,16,13.7,16,,19.7,10.3,19.7,13.2,19.9,,,9.9,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,4,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.6667,2/11/21 16:00,8.188853529,7.9960905,10.67098628,NaN,7.012793178,8.82667274,7.45462121,9.129620047,7.340295239,,,9.097033874,16.2,13.7,16,,20,9.9,20,13.1,20.2,,,9.9,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.6875,2/11/21 16:30,8.295064114,8.003212203,10.60929258,NaN,7.119833847,8.750611797,7.485495074,9.157419124,7.376148042,,,9.153038301,16.2,13.8,16.1,,19.5,9.9,19.4,13.2,19.7,,,9.9,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.7083,2/11/21 16:59,7.978164016,8.166100136,10.98759907,NaN,7.058752931,9.033295806,7.381564844,9.024558591,7.42448273,,,9.016515382,15.9,13.4,15.8,,19.7,9.7,19.6,13.1,19.9,,,9.8,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.7292,2/11/21 17:30,8.350236119,8.008988612,10.65772399,NaN,7.102655909,8.835527251,7.578018758,9.148663093,7.436015444,,,9.06729362,15.8,13.6,15.8,,19.4,9.8,19.1,13,19.5,,,10,1,4,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.75,2/11/21 18:00,8.230393377,7.983850472,10.76410977,NaN,7.090079036,8.806018355,7.540402991,9.055103149,7.403670164,,,9.095279685,16.1,14,15.9,,19.6,9.7,19.6,13.6,19.9,,,9.9,1,4,1,,1,4,1,1,1,,,4,,1,4,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.7708,2/11/21 18:29,8.075929363,5.297975097,10.62355412,NaN,7.088012639,7.508786128,7.538713988,5.590862572,7.450833946,,,7.446060781,15.9,12.3,15.8,,19.3,9.8,19.3,11.7,19.6,,,9.8,1,4,1,,1,1,1,1,1,,,4,,1,4,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.7917,2/11/21 19:00,8.227313965,5.655870333,10.7967988,NaN,7.089645589,7.787457624,7.540572554,6.251224579,7.539741904,,,7.803825028,16,12.4,15.8,,19.3,9.6,19.2,11.9,19.5,,,9.9,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
